fecha;anio;mes;region_nombre;region_cod;tipo;precio_pesos;tamanio,
01/01/2000;2000;1;Región Metropolitana de Santiago;13;CATALITICO;2.372,00;5 kg
01/01/2000;2000;1;Región Metropolitana de Santiago;13;CORRIENTE;2.317,00;5 kg
02/02/2000;2000;2;Región Metropolitana de Santiago;13;CATALITICO;2.387,00;5 kg
02/02/2000;2000;2;Región Metropolitana de Santiago;13;CORRIENTE;2.359,00;5 kg
05/03/2000;2000;3;Región Metropolitana de Santiago;13;CATALITICO;2.396,00;5 kg
05/03/2000;2000;3;Región Metropolitana de Santiago;13;CORRIENTE;2.369,00;5 kg
06/04/2000;2000;4;Región Metropolitana de Santiago;13;CATALITICO;2.563,00;5 kg
06/04/2000;2000;4;Región Metropolitana de Santiago;13;CORRIENTE;2.515,00;5 kg
08/05/2000;2000;5;Región Metropolitana de Santiago;13;CATALITICO;2.665,00;5 kg
08/05/2000;2000;5;Región Metropolitana de Santiago;13;CORRIENTE;2.612,00;5 kg
09/06/2000;2000;6;Región Metropolitana de Santiago;13;CATALITICO;2.690,00;5 kg
09/06/2000;2000;6;Región Metropolitana de Santiago;13;CORRIENTE;2.612,00;5 kg
11/07/2000;2000;7;Región Metropolitana de Santiago;13;CATALITICO;2.836,00;5 kg
11/07/2000;2000;7;Región Metropolitana de Santiago;13;CORRIENTE;2.746,00;5 kg
12/08/2000;2000;8;Región Metropolitana de Santiago;13;CATALITICO;2.846,00;5 kg
12/08/2000;2000;8;Región Metropolitana de Santiago;13;CORRIENTE;2.749,00;5 kg
13/09/2000;2000;9;Región Metropolitana de Santiago;13;CATALITICO;2.844,00;5 kg
13/09/2000;2000;9;Región Metropolitana de Santiago;13;CORRIENTE;2.750,00;5 kg
15/10/2000;2000;10;Región Metropolitana de Santiago;13;CATALITICO;2.817,00;5 kg
15/10/2000;2000;10;Región Metropolitana de Santiago;13;CORRIENTE;2.737,00;5 kg
16/11/2000;2000;11;Región Metropolitana de Santiago;13;CATALITICO;3.096,00;5 kg
16/11/2000;2000;11;Región Metropolitana de Santiago;13;CORRIENTE;3.063,00;5 kg
18/12/2000;2000;12;Región Metropolitana de Santiago;13;CATALITICO;3.059,00;5 kg
18/12/2000;2000;12;Región Metropolitana de Santiago;13;CORRIENTE;3.003,00;5 kg
01/01/2001;2001;1;Región Metropolitana de Santiago;13;CATALITICO;3.375,00;5 kg
01/01/2001;2001;1;Región Metropolitana de Santiago;13;CORRIENTE;3.336,00;5 kg
01/02/2001;2001;2;Región Metropolitana de Santiago;13;CATALITICO;3.291,00;5 kg
01/02/2001;2001;2;Región Metropolitana de Santiago;13;CORRIENTE;3.268,00;5 kg
01/03/2001;2001;3;Región Metropolitana de Santiago;13;CATALITICO;3.071,00;5 kg
01/03/2001;2001;3;Región Metropolitana de Santiago;13;CORRIENTE;3.020,00;5 kg
01/04/2001;2001;4;Región Metropolitana de Santiago;13;CATALITICO;3.048,00;5 kg
01/04/2001;2001;4;Región Metropolitana de Santiago;13;CORRIENTE;2.992,10;5 kg
01/05/2001;2001;5;Región Metropolitana de Santiago;13;CATALITICO;3.116,00;5 kg
01/05/2001;2001;5;Región Metropolitana de Santiago;13;CORRIENTE;3.045,10;5 kg
01/06/2001;2001;6;Región Metropolitana de Santiago;13;CATALITICO;3.084,00;5 kg
01/06/2001;2001;6;Región Metropolitana de Santiago;13;CORRIENTE;2.977,40;5 kg
01/07/2001;2001;7;Región Metropolitana de Santiago;13;CATALITICO;2.950,00;5 kg
01/07/2001;2001;7;Región Metropolitana de Santiago;13;CORRIENTE;2.888,90;5 kg
01/08/2001;2001;8;Región Metropolitana de Santiago;13;CATALITICO;3.002,00;5 kg
01/08/2001;2001;8;Región Metropolitana de Santiago;13;CORRIENTE;2.915,00;5 kg
01/09/2001;2001;9;Región Metropolitana de Santiago;13;CATALITICO;3.010,00;5 kg
01/09/2001;2001;9;Región Metropolitana de Santiago;13;CORRIENTE;2.939,00;5 kg
01/10/2001;2001;10;Región Metropolitana de Santiago;13;CATALITICO;3.019,00;5 kg
01/10/2001;2001;10;Región Metropolitana de Santiago;13;CORRIENTE;2.971,00;5 kg
01/11/2001;2001;11;Región Metropolitana de Santiago;13;CATALITICO;3.017,00;5 kg
01/11/2001;2001;11;Región Metropolitana de Santiago;13;CORRIENTE;2.951,00;5 kg
01/12/2001;2001;12;Región Metropolitana de Santiago;13;CATALITICO;2.906,00;5 kg
01/12/2001;2001;12;Región Metropolitana de Santiago;13;CORRIENTE;2.817,00;5 kg
01/01/2002;2002;1;Región Metropolitana de Santiago;13;CATALITICO;2.843,00;5 kg
01/01/2002;2002;1;Región Metropolitana de Santiago;13;CORRIENTE;2.747,00;5 kg
01/02/2002;2002;2;Región Metropolitana de Santiago;13;CATALITICO;2.770,00;5 kg
01/02/2002;2002;2;Región Metropolitana de Santiago;13;CORRIENTE;2.731,00;5 kg
01/03/2002;2002;3;Región Metropolitana de Santiago;13;CATALITICO;2.773,00;5 kg
01/03/2002;2002;3;Región Metropolitana de Santiago;13;CORRIENTE;2.732,00;5 kg
01/04/2002;2002;4;Región Metropolitana de Santiago;13;CATALITICO;2.911,00;5 kg
01/04/2002;2002;4;Región Metropolitana de Santiago;13;CORRIENTE;2.858,00;5 kg
01/05/2002;2002;5;Región Metropolitana de Santiago;13;CATALITICO;2.949,00;5 kg
01/05/2002;2002;5;Región Metropolitana de Santiago;13;CORRIENTE;2.895,00;5 kg
01/06/2002;2002;6;Región Metropolitana de Santiago;13;CATALITICO;2.971,00;5 kg
01/06/2002;2002;6;Región Metropolitana de Santiago;13;CORRIENTE;2.906,00;5 kg
01/07/2002;2002;7;Región Metropolitana de Santiago;13;CATALITICO;3.004,00;5 kg
