Servicentro,Region,Provincia,Comuna,Dirección,Coordenadas,Tipo de Atención,Gasolina 93 $/L,Petróleo Diesel $/L,Gasolina 95 $/L,GLP Vehicular $/m3,GNC $/m3,Gasolina 97 $/L,Kerosene $/L,Úlima Actualización
SHELL,Biobío,Concepción,Concepción,Los Carrera 420,36º0'0""S 73º0'0""W,Asistido,1260,1000,1283,0,0,1307,1053,9 oct. 2025
SHELL,Biobío,Concepción,Concepción,Paicavi 1769,36º0'0""S 73º0'0""W,Asistido,1239,978,1275,0,0,1305,0,21 oct. 2025
SHELL,Biobío,Concepción,Concepción,Paicavi 1769,36º0'0""S 73º0'0""W,Autoservicio,1233,972,1269,0,0,1299,0,21 oct. 2025
Sin Bandera,Biobío,Concepción,Concepción,Manuel Gutierrez 2429,36º0'0""S 73º0'0""W,Asistido,1277,996,1305,0,0,1344,0,9 oct. 2025
SHELL,Biobío,Concepción,Concepción,Avda Ramón Carrasco 217,36º0'0""S 73º0'0""W,Asistido,1259,994,1280,0,0,1305,1054,9 oct. 2025
SHELL,Biobío,Concepción,Concepción,Avda Ramón Carrasco 217,36º0'0""S 73º0'0""W,Autoservicio,1251,986,1272,0,0,1297,0,9 oct. 2025
SHELL,Biobío,Concepción,Concepción,Los Carerra 1499,36º0'0""S 73º0'0""W,Asistido,1260,1000,1283,0,0,1307,1053,9 oct. 2025
SHELL,Biobío,Concepción,Concepción,Los Carrera 218,36º0'0""S 73º0'0""W,Asistido,1260,1000,1283,0,0,1307,1053,9 oct. 2025
TERPEL,Biobío,Concepción,Concepción,Pedro Lagos NºA 130,36º0'0""S 73º0'0""W,Asistido,1228,962,1257,0,0,0,0,18 sept. 2025
AGUESAN,Biobío,Concepción,Concepción,Av Collao 1898,36º0'0""S 73º0'0""W,Asistido,1259,998,1284,0,0,0,0,9 oct. 2025
COPEC,Biobío,Concepción,Concepción,Arturo Prat 998,36º0'0""S 73º0'0""W,Asistido,1252,996,1275,0,0,1307,1036,23 oct. 2025
COPEC,Biobío,Concepción,Coronel,Sotomayor esq. Valle Lota 1300,37º0'0""S 73º0'0""W,Asistido,1252,995,1284,0,0,1311,1025,9 oct. 2025
COPEC,Biobío,Concepción,Coronel,Los Carrera 176,37º0'0""S 73º0'0""W,Asistido,1252,995,1284,0,0,1311,1043,9 oct. 2025
COPEC,Biobío,Concepción,Coronel,JUAN ANTONIO RIOS 2243,36º0'0""S 73º0'0""W,Asistido,1253,995,1284,0,0,1311,1072,9 oct. 2025
ARAMCO,Biobío,Concepción,Coronel,Manuel Montt 699,37º0'0""S 73º0'0""W,Asistido,1255,989,1279,0,0,1298,1068,6 sept. 2025
ARAMCO,Biobío,Concepción,Coronel,Ruta 160 km 19 6750,36º0'0""S 73º0'0""W,Asistido,1257,996,1287,0,0,1312,1057,9 oct. 2025
ARAMCO,Biobío,Concepción,Coronel,Av. Carlos Prat Gonzalez # 1405,37º0'0""S 73º0'0""W,Asistido,1252,996,1284,0,0,1311,0,9 oct. 2025
ARAMCO,Biobío,Concepción,Coronel,Manuel Montt 2320,36º0'0""S 73º0'0""W,Asistido,1252,985,1284,0,0,1311,1034,9 oct. 2025
SHELL,Biobío,Concepción,Coronel,Avda. Carlos Prats 1300,37º0'0""S 73º0'0""W,Asistido,1252,995,1284,0,0,1311,1042,9 oct. 2025
SHELL,Biobío,Concepción,Coronel,Camino a Coronel Km. 19,36º0'0""S 73º0'0""W,Asistido,1256,995,1286,0,0,1313,0,9 oct. 2025
COPEC,Biobío,Concepción,Chiguayante,OHIGGINS 2160,36º0'0""S 73º0'0""W,Asistido,1260,1000,1284,0,0,1308,1054,16 oct. 2025
COPEC,Biobío,Concepción,Chiguayante,MANUEL RODRIGUEZ 725,36º0'0""S 73º0'0""W,Asistido,1260,1000,1284,0,0,1308,1054,9 oct. 2025
COPEC,Biobío,Concepción,Chiguayante,CALLE 8 ORIENTE 750,36º0'0""S 73º0'0""W,Asistido,1260,1000,1284,0,0,1308,1054,9 oct. 2025
PETROBRAS,Biobío,Concepción,Chiguayante,MANUEL RODRIGUEZ 1562,36º0'0""S 73º0'0""W,Asistido,1260,1000,1284,0,0,1308,1036,9 oct. 2025
SHELL,Biobío,Concepción,Chiguayante,Manuel Rodríguez 2175,36º0'0""S 73º0'0""W,Asistido,1260,1000,1284,0,0,1311,1054,9 oct. 2025
COPEC,Biobío,Concepción,Florida,GENERAL LAGOS esq E. RAMIREZ S 666,36º0'0""S 72º0'0""W,Asistido,1256,993,1279,0,0,1306,1054,9 oct. 2025
